Job esco,Skill esco,Secteur1,Secteur2,Secteur3,Secteur4,Secteur5
typist,"align content with form
apply grammar and spelling rules
decode handwritten texts
draft corporate emails
liaise with typists
pose questions referring to documents
provide written content
type error-free documents
use dictionaries
use free typing techniques
use microsoft office",Clerical support workers,General and keyboard clerks,Keyboard operators,Typists and word processing operators,typist
security guard supervisor,"coordinate patrols
coordinate security
detain offenders
ensure law application
ensure public safety and security
execute inspection walkway
liaise with security authorities
maintain facility security systems
manage security equipment
manage the security team
monitor surveillance equipment
practice vigilance
supervise security at manned access gates
supervise staff
undertake inspections
write security reports",Service and sales workers,Protective services workers,Protective services workers,Security guards,security guard
promotion manager,"align efforts towards business development
analyse consumer buying trends
analyse customer service surveys
analyse external factors of companies
analyse internal factors of companies
analyse work-related written reports
capture people's attention
collaborate in the development of marketing strategies
create annual marketing budget
create media plan
define measurable marketing objectives
develop professional network
evaluate marketing content
identify potential markets for companies
impart business plans to collaborators
integrate marketing strategies with the global strategy
integrate strategic foundation in daily performance
liaise with advertising agencies
liaise with distribution channel managers
manage budgets
manage profitability
manage the handling of promotional materials
organise on-site amenities
perform market research
plan marketing campaigns
plan marketing strategy
study sales levels of products
track key performance indicators",Managers,Administrative and commercial managers,"Sales, marketing and development managers",Sales and marketing managers,chief marketing officer
sales account manager,"apply company policies
build business relationships
ensure client orientation
forecast account metrics
implement customer follow-up
keep records on sales
maintain customer records
manage contracts
maximise sales revenues
negotiate price
perform customers’ needs analysis
perform data analysis
produce sales reports
prospect new customers
study sales levels of products
use customer relationship management software",Managers,"Hospitality, retail and other services managers",Retail and wholesale trade managers,Retail and wholesale trade managers,sales account manager
factory hand,"clean building floors
clean equipment
clean surfaces
maintain work area cleanliness
supply machine
supply machine with appropriate tools
wear appropriate protective gear",Elementary occupations,"Labourers in mining, construction, manufacturing and transport",Manufacturing labourers,Manufacturing labourers not elsewhere classified,factory hand
glove maker,"distinguish accessories
distinguish fabrics
manufacture personal protective equipment made of textile
manufacture wearing apparel products
sew pieces of fabric
sew protective workwear",Craft and related trades workers,"Food processing, wood working, garment and other craft and related trades workers",Garment and related trades workers,"Sewing, embroidery and related workers",glove maker
bacteriology technician,"analyse experimental laboratory data
apply safety procedures in laboratory
apply scientific methods
assist in the production of laboratory documentation
calibrate laboratory equipment
collect biological data
collect samples for analysis
maintain laboratory equipment
manage inventory
perform laboratory tests
perform scientific research
use laboratory equipment
write technical reports",Technicians and associate professionals,Science and engineering associate professionals,Life science technicians and related associate professionals,Life science technicians (excluding medical),scientific laboratory technician
building cleaner,"arrange furniture
clean building facade
clean building floors
clean glass surfaces
clean particular areas manually
clean surfaces
follow organisational guidelines in the cleaning industry
handle chemical cleaning agents
inform on toilet facilities malfunctions
maintain cleaning equipment
maintain facility security systems
maintain inventory of cleaning supplies
maintain personal hygiene standards when cleaning
manage routine waste
operate floor cleaning equipment
operate janitorial tools
perform cleaning activities in an environmentally friendly way
perform cleaning duties
perform minor repairs to buildings' systems
remove dust
report major building repairs
restock toilet facilities' supplies
sort waste",Elementary occupations,Cleaners and helpers,"Domestic, hotel and office cleaners and helpers","Cleaners and helpers in offices, hotels and other establishments",building cleaner
hand packer,"comply with checklists
ensure correct goods labelling
follow written instructions
lift heavy weights
pack goods
secure goods
stack goods
use packaging equipment",Elementary occupations,"Labourers in mining, construction, manufacturing and transport",Manufacturing labourers,Hand packers,hand packer
machine operator supervisor,"check material resources
communicate problems to senior colleagues
consult technical resources
create solutions to problems
ensure finished product meet requirements
evaluate employees work
follow production schedule
monitor machine operations
monitor manufacturing quality standards
oversee production requirements
plan shifts of employees
record production data for quality control
report on production results
schedule regular machine maintenance
set up the controller of a machine",Technicians and associate professionals,Science and engineering associate professionals,"Mining, manufacturing and construction supervisors",Manufacturing supervisors,production supervisor
compression moulding machine operator,"dump batches
extract products from moulds
install press dies
manipulate plastic
measure materials
monitor gauge
monitor valves
move levers
optimise production processes parameters
tend compression moulding machine
use personal protection equipment",Plant and machine operators and assemblers,Stationary plant and machine operators,"Rubber, plastic and paper products machine operators",Plastic products machine operators,compression moulding machine operator
forklift operator,"apply company policies
apply techniques for stacking goods into containers
carry out stock rotation
conduct forklift inspections
ensure compliance with environmental legislation
estimate distances
execute working instructions
follow procedures to control substances hazardous to health
follow signalling instructions
follow stock control instructions
follow verbal instructions
follow work procedures
lift heavy weights
maintain warehouse database
match goods with appropriate packaging according to security procedures
meet picking standards
monitor goods movement
operate forklift
operate package processing equipment
operate radio equipment
operate warehouse materials
pick orders for dispatching
prepare shipments in time
stack empty pallets
stack goods
stay alert
store warehouse goods
transfer stock
transport dangerous goods
weigh materials
work in a logistics team",Plant and machine operators and assemblers,Drivers and mobile plant operators,Mobile plant operators,Lifting truck operators,forklift operator
building construction worker,"apply finish to concrete
check compatibility of materials
dig soil mechanically
discharge cement
follow health and safety procedures in construction
inspect construction supplies
inspect masonry work
install construction profiles
install wood elements in structures
mix concrete
move soil
operate digging construction equipment
place drywall
pour concrete
prepare surface for painting
prepare surface for plastering
prepare wall for wallpaper
transport construction supplies
use safety equipment in construction
work in a construction team",Elementary occupations,"Labourers in mining, construction, manufacturing and transport",Mining and construction labourers,Building construction labourers,building construction worker
materials handler,"dispatch order processing
dispose of non-hazardous waste
follow health and safety procedures in construction
follow stock control instructions
implement efficiency plans for logistics operations
inspect construction supplies
load heavy items on pallets
maintain physical condition of warehouse
maintain stock control systems
manage warehouse inventory
operate warehouse materials
operate warehouse record systems
pallets loading
pick orders for dispatching
process incoming construction supplies
secure goods
sort waste
stack goods
use different communication channels
use warehouse marking tools",Elementary occupations,"Labourers in mining, construction, manufacturing and transport",Transport and storage labourers,Freight handlers,materials handler
poultry breeder,"administer drugs to facilitate breeding
administer treatment to animals
apply animal hygiene practices
assist animal birth
assist in transportation of animals
breed poultry
care for juvenile animals
control animal movement
create animal records
dispose of dead animals
handle feathers
maintain animal accommodation hygienic
maintain professional records
manage animal biosecurity
monitor the production of eggs
monitor the welfare of animals
operate farm equipment
provide first aid to animals
provide nutrition to animals","Skilled agricultural, forestry and fishery workers",Market-oriented skilled agricultural workers,Animal producers,Poultry producers,poultry breeder
cargo vehicle driver,"anticipate foreseeable problems on the road
control the performance of the vehicle
interpret traffic signals
operate GPS systems
parallel park vehicles
practice emergency stops
read maps
stay alert
supervise loading of cargo
supervise unloading of cargo
use communication devices
use different communication channels",Plant and machine operators and assemblers,Drivers and mobile plant operators,Heavy truck and bus drivers,Heavy truck and lorry drivers,cargo vehicle driver
engineering assistant,"assist scientific research
collaborate with engineers
examine engineering principles
file documents
handle mail
liaise with engineers
perform clerical duties
perform office routine activities",Technicians and associate professionals,Science and engineering associate professionals,Physical and engineering science technicians,Civil engineering technicians,engineering assistant
restaurant manager,"arrange special events
comply with food safety and hygiene
control of expenses
design indicators for food waste reduction
develop food waste reduction strategies
develop inclusive communication material
devise special promotions
ensure infrastructure accessibility
ensure maintenance of kitchen equipment
ensure portion control
handle customer complaints
identify customer's needs
identify suppliers
maintain customer service
manage health and safety standards
manage restaurant service
manage staff
manage stock rotation
manage the customer experience
maximise sales revenues
monitor customer service
monitor financial accounts
monitor work for special events
order supplies
plan menus
prepare tableware
recruit employees
set prices of menu items
supervise food quality
supervise the work of staff on different shifts
train employees
train staff to reduce food waste
use resource-efficient technologies in hospitality",Managers,"Hospitality, retail and other services managers",Hotel and restaurant managers,Restaurant managers,restaurant manager
management assistant,"build business relationships
coordinate events
disseminate internal communications
disseminate messages to people
draft corporate emails
fix meetings
liaise with board members
liaise with managers
maintain internal communication systems
perform business research
perform clerical duties
process commissioned instructions
support managers
use different communication channels
use office systems
use spreadsheets software
write work-related reports",Technicians and associate professionals,Business and administration associate professionals,Administrative and specialised secretaries,Administrative and executive secretaries,management assistant
supply chain assistant,"budget for financial needs
organise business documents
perform business research
perform office routine activities
support managers
use office systems
use spreadsheets software",Technicians and associate professionals,Business and administration associate professionals,Administrative and specialised secretaries,Administrative and executive secretaries,administrative assistant
accounting assistant,"allocate bills
attach accounting certificates to accounting transactions
check accounting records
follow the statutory obligations
follow up accounts receivables
identify accounting errors
issue sales invoices
maintain financial records
manage corporate bank accounts
perform account allocation
perform business research
prepare trial accounting balances
use accounting systems
use office systems",Technicians and associate professionals,Business and administration associate professionals,Financial and mathematical associate professionals,Accounting associate professionals,accounting assistant
mineral processing operator,"collect samples
conduct inter-shift communication
deal with pressure from unexpected circumstances
handle chemicals
mix treating materials
operate raw mineral separation equipment
operate raw mineral size reduction equipment
troubleshoot
work ergonomically",Plant and machine operators and assemblers,Stationary plant and machine operators,Mining and mineral processing plant operators,Mineral and stone processing plant operators,mineral processing operator
project manager,"apply conflict management
build business relationships
control of expenses
create project specifications
customise project methodologies
draft project documentation
ensure compliance with legal requirements
ensure equipment availability
ensure equipment maintenance
establish daily priorities
estimate duration of work
follow company standards
identify legal requirements
liaise with managers
manage budgets
manage logistics
manage project changes
manage project information
manage project metrics
manage staff
manage supplies
negotiate with stakeholders
organise project meetings
perform PESTEL analysis
perform project management
perform resource planning
perform risk analysis
provide cost benefit analysis reports
supervise daily information operations
train employees
write work-related reports",Managers,Administrative and commercial managers,Business services and administration managers,Business services and administration managers not elsewhere classified,project manager
construction painter,"clean painting equipment
dispose of hazardous waste
dispose of non-hazardous waste
follow health and safety procedures in construction
follow safety procedures when working at heights
inspect construction supplies
inspect paintwork
interpret 2D plans
interpret 3D plans
paint surfaces
prepare surface for painting
protect surfaces during construction work
remove paint
sand between coats
snap chalk line
transport construction supplies
use measurement instruments
use safety equipment in construction
work ergonomically
work safely with chemicals",Craft and related trades workers,"Building and related trades workers, excluding electricians","Painters, building structure cleaners and related trades workers",Painters and related workers,construction painter
metal products assembler,"assemble metal parts
ensure equipment availability
ensure public safety and security
fasten components
fix knife blades
inspect quality of products
join metals
manipulate metal
perform pre-assembly quality checks
troubleshoot
use metalworking tools
use technical documentation",Plant and machine operators and assemblers,Assemblers,Assemblers,Assemblers not elsewhere classified,metal products assembler
food safety inspector,"advocate for consumer matters in production plants
analyse samples of food and beverages
apply GMP
apply HACCP
apply requirements concerning manufacturing of food and beverages
assess HACCP implementation in plants
consider economic criteria in decision making
ensure correct goods labelling
give instructions to staff
identify hazards in the workplace
identify the factors causing changes in food during storage
keep up-to-date with regulations
lead inspections
maintain relationships with government agencies
maintain updated professional knowledge
manage communications with food industry governmental bodies
manage health and safety standards
manage the use of additives in food manufacturing
perform food safety checks
perform inspection analysis
perform quality audits
set quality assurance objectives
work in cold environments
write routine reports",Technicians and associate professionals,Health associate professionals,Other health associate professionals,Environmental and occupational health inspectors and associates,food safety inspector
billing clerk,"allocate bills
file documents
fill out forms
follow up accounts receivables
handle financial transactions
maintain credit history of clients
maintain customer records
maintain financial records
organise business documents
use office systems",Clerical support workers,Numerical and material recording clerks,Numerical clerks,Accounting and bookkeeping clerks,billing clerk
fitter and turner,"cut metal products
fabricate metal parts
inspect quality of products
manipulate metal
measure parts of manufactured products
operate drill press
operate metal fabricating machines
perform metal work
tend lathe
use technical documentation",Craft and related trades workers,"Metal, machinery and related trades workers","Blacksmiths, toolmakers and related trades workers",Metal working machine tool setters and operators,fitter and turner
shop assistant,"Order products
apply company policies
carry out order intake
direct customers to merchandise
examine merchandise
execute working instructions
maintain relationship with customers
maintain relationship with suppliers
maintain store cleanliness
notify customers on special offers
operate cash register
organise product display
pack merchandise for gifts
package purchases in bags
process refunds
provide customer follow-up services
provide customer guidance on product selection
put up price tags
stock shelves
supervise merchandise displays",Service and sales workers,Sales workers,Shop salespersons,Shop sales assistants,shop assistant
packaging and filling machine operator,"adhere to organisational guidelines
apply GMP
apply HACCP
apply requirements concerning manufacturing of food and beverages
be at ease in unsafe environments
check quality of products on the production line
clean food and beverage machinery
dispose non-food waste within the food industry
ensure quality control in packaging
execute working instructions
follow hygienic procedures during food processing
identify the factors causing changes in food during storage
monitor machine operations
operate package processing equipment
operate weighing machine
stack goods
tend packaging machines
work in conveyor belts in food manufacturing",Plant and machine operators and assemblers,Stationary plant and machine operators,Other stationary plant and machine operators,"Packing, bottling and labelling machine operators",packaging and filling machine operator
industrial machinery assembler,"assemble machines
consult technical resources
inspect industrial equipment
install machinery
maintain industrial equipment
operate welding equipment
perform machine maintenance
perform maintenance on installed equipment
perform test run
secure working area",Plant and machine operators and assemblers,Assemblers,Assemblers,Mechanical machinery assemblers,industrial machinery assembler
warehouse order picker,"check shipments
comply with checklists
ensure efficient utilisation of warehouse space
follow written instructions
lift heavy weights
maintain material handling equipment
maintain physical condition of warehouse
maintain stock control systems
maintain warehouse database
manage warehouse inventory
operate chainsaw
operate material handling equipment
operate voice picking systems
operate warehouse record systems
pick orders for dispatching
process customer orders
process orders from online shop
secure goods
stack goods
store warehouse goods
use packaging equipment
use warehouse marking tools
weigh shipments",Elementary occupations,"Labourers in mining, construction, manufacturing and transport",Transport and storage labourers,Freight handlers,warehouse worker
handyperson,"calculate costs of repair operations
maintain customer service
maintain records of maintenance interventions
maintain work area cleanliness
read technical datasheet
use measurement instruments
use personal protection equipment
use power tools
use traditional toolbox tools
work ergonomically",Elementary occupations,Refuse workers and other elementary workers,Other elementary workers,Odd job persons,handyperson
product and services manager,"apply business acumen
assign codes to product items
develop the product catalogue
ensure finished product meet requirements
ensure products meet regulatory requirements
handle requests for new product items
have computer literacy
maintain relationship with suppliers
meet deadlines
perform data analysis
plan marketing strategy",Professionals,Business and administration professionals,"Sales, marketing and public relations professionals",Advertising and marketing professionals,product and services manager
maintenance and repair engineer,"advise on efficiency improvements
conduct quality control analysis
conduct routine machinery checks
create solutions to problems
inspect industrial equipment
inspect machinery
maintain equipment
maintain machinery
manage budgets
perform machine maintenance
perform test run
resolve equipment malfunctions
troubleshoot
use testing equipment
work safely with machines
write technical reports",Professionals,Science and engineering professionals,Engineering professionals (excluding electrotechnology),Industrial and production engineers,maintenance and repair engineer
furniture assembler,"align components
apply a protective layer
assemble prefabricated furniture
clean wood surface
create furniture frames
create smooth wood surface
ensure conformity to specifications
follow written instructions
join wood elements
memorise assembly instructions
operate drilling equipment
tend boring machine
use power tools",Plant and machine operators and assemblers,Assemblers,Assemblers,Assemblers not elsewhere classified,furniture assembler
precision device inspector,"communicate test results to other departments
conduct quality control analysis
ensure conformity to specifications
meet deadlines
monitor machine operations
read assembly drawings
read standard blueprints
report defective manufacturing materials
troubleshoot",Craft and related trades workers,"Food processing, wood working, garment and other craft and related trades workers",Other craft and related workers,Product graders and testers (excluding foods and beverages),product quality inspector
packing machinery engineer,"adjust engineering designs
analyse packaging requirements
approve engineering design
perform scientific research
plan new packaging designs
read engineering drawings
troubleshoot
use CAD software
use computer-aided engineering systems
use technical drawing software",Professionals,Science and engineering professionals,Engineering professionals (excluding electrotechnology),Mechanical engineers,mechanical engineer
after-sales service technician,"advise on merchandise features
communicate with customers
contact customers
create solutions to problems
ensure compliance with legal requirements
execute after sales activities
guarantee customer satisfaction
implement customer follow-up
implement sales strategies
provide customer follow-up services",Professionals,Business and administration professionals,"Sales, marketing and public relations professionals",Technical and medical sales professionals (excluding ICT),after-sales service technician
cabinet maker,"apply a protective layer
apply wood finishes
clean wood surface
create furniture frames
create smooth wood surface
design objects to be crafted
design original furniture
join wood elements
operate drilling equipment
operate wood sawing equipment
repair furniture frames
sand wood
tend boring machine",Craft and related trades workers,"Food processing, wood working, garment and other craft and related trades workers","Wood treaters, cabinet-makers and related trades workers",Cabinet-makers and related workers,cabinet maker
blending plant operator,"administer ingredients in food production
apply GMP
apply HACCP
apply requirements concerning manufacturing of food and beverages
assess quality characteristics of food products
check sensorial parameters of oils and fats
clean food and beverage machinery
collect samples for analysis
develop work programmes
ensure public safety and security
maintain tanks
monitor oil blending process
perform preliminary operations for oil extraction
pump products
refine edible oils
support management of raw materials
tend equipment for oil extraction
tend mixing oil machine
use tools for construction and repair
winterise fats",Plant and machine operators and assemblers,Stationary plant and machine operators,Food and related products machine operators,Food and related products machine operators,blending plant operator
human resources assistant,"administer appointments
apply company policies
assess character
communicate by telephone
document interviews
fix meetings
hire human resources
identify with the company's goals
listen actively
maintain professional administration
manage payroll reports
observe confidentiality
profile people
support managers
use communication techniques
write work-related reports",Clerical support workers,Other clerical support workers,Other clerical support workers,Personnel clerks,human resources assistant
human resources officer,"apply company policies
assess character
build trust
develop professional network
document interviews
fix meetings
hire human resources
identify with the company's goals
interview people
listen actively
manage payroll
negotiate employment agreements
observe confidentiality
profile people
recruit employees
use communication techniques
write work-related reports",Professionals,Business and administration professionals,Administration professionals,Personnel and careers professionals,human resources officer
semiconductor processor,"clean wafers
ensure conformity to specifications
imprint circuit design onto wafers
inspect semiconductor components
load electronic circuits onto wafers
measure parts of manufactured products
meet deadlines
monitor machine operations
monitor manufacturing quality standards
polish wafers
produce semiconductor crystals
read assembly drawings
remove defective products
report defective manufacturing materials
slice crystals into wafers
wear cleanroom suit",Plant and machine operators and assemblers,Assemblers,Assemblers,Electrical and electronic equipment assemblers,electronic equipment assembler
moving truck driver,"carry objects
communicate with customers
drive in urban areas
ensure vehicle operability
follow work procedures
handle delivery of furniture goods
interpret traffic signals
load bulk trucks
manoeuvre heavy trucks
operate GPS systems
perform cleaning duties
perform defensive driving
read maps
read pictograms
store warehouse goods
use communication equipment
use equipment for safe stowage",Plant and machine operators and assemblers,Drivers and mobile plant operators,Heavy truck and bus drivers,Heavy truck and lorry drivers,moving truck driver
fruit and vegetables specialised seller,"advise customers on preparation of fruits and vegetables
advise customers on storage of fruits and vegetables
apply numeracy skills
carry out active selling
carry out order intake
carry out products preparation
check quality of fruits and vegetables
create decorative food displays
demonstrate products' features
ensure compliance with legal requirements
ensure temperature control for fruits and vegetables
examine merchandise
guarantee customer satisfaction
identify customer's needs
issue sales invoices
maintain store cleanliness
monitor stock level
operate cash register
organise product display
organise storage facilities
plan aftersales arrangements
prevent shoplifting
process refunds
provide customer follow-up services
provide customer guidance on product selection
stock shelves
use different communication channels
use fruit and vegetables processing machinery
weigh fruits and vegetables",Service and sales workers,Sales workers,Shop salespersons,Shop sales assistants,specialised seller
legal assistant,"compile legal documents
execute working instructions
handle case evidence
manage accounts
meet deadlines for preparing legal cases
pose questions referring to documents
revise legal documents
study court hearings
use word processing software",Technicians and associate professionals,"Legal, social, cultural and related associate professionals","Legal, social and religious associate professionals",Legal and related associate professionals,legal assistant
vending machine operator,"adjust temperature gauges
carry out stock rotation
change shelf labels
ensure public safety and security
keep task records
maintain operations of vending machines",Elementary occupations,Refuse workers and other elementary workers,Other elementary workers,Meter readers and vending-machine collectors,vending machine operator
carpenter,"apply wood finishes
clean wood surface
create smooth wood surface
create wood joints
define part requirements
follow health and safety procedures in construction
identify wood warp
inspect construction supplies
install construction profiles
install wood elements in structures
install wood hardware
interpret 2D plans
interpret 3D plans
join wood elements
keep sawing equipment in good condition
keep track of wooden elements
snap chalk line
sort waste
transport construction supplies
use measurement instruments
use safety equipment in construction
work ergonomically",Craft and related trades workers,"Building and related trades workers, excluding electricians",Building frame and related trades workers,Carpenters and joiners,carpenter
process engineering technician,"adjust engineering designs
advise on manufacturing problems
analyse test data
collaborate with engineers
conduct routine machinery checks
create solutions to problems
identify process improvements
perform maintenance on installed equipment
read engineering drawings
record test data
resolve equipment malfunctions
troubleshoot",Technicians and associate professionals,Science and engineering associate professionals,Physical and engineering science technicians,Physical and engineering science technicians not elsewhere classified,process engineering technician
tailor,"alter wearing apparel
create patterns for garments
cut fabrics
design wearing apparel
distinguish accessories
distinguish fabrics
draw sketches to develop textile articles using softwares
evaluate garment quality
grade patterns for wearing apparel
iron textiles
make made-to-measure garments
make technical drawings of fashion pieces
manage briefs for clothing manufacturing
manufacture male suits
manufacture wearing apparel products
measure the human body for wearing apparel
operate garment manufacturing machines
prepare production prototypes
sew pieces of fabric
sew textile-based articles",Craft and related trades workers,"Food processing, wood working, garment and other craft and related trades workers",Garment and related trades workers,"Tailors, dressmakers, furriers and hatters",tailor
laminating machine operator,"monitor automated machines
operate laminating machine
perform test run
produce samples
read job ticket instructions
set up the controller of a machine
supply machine
troubleshoot
wear appropriate protective gear
work safely with machines",Plant and machine operators and assemblers,Stationary plant and machine operators,Wood processing and papermaking plant operators,Pulp and papermaking plant operators,laminating machine operator
chief operating officer,"abide by business ethical code of conducts
analyse business plans
collaborate in company's daily operations
conclude business agreements
develop professional network
ensure lawful business operations
establish collaborative relations
evaluate performance of organisational collaborators
integrate strategic foundation in daily performance
interpret financial statements
lead managers of company departments
make strategic business decisions
negotiate with stakeholders
plan medium to long term objectives
shape organisational teams based on competencies
track key performance indicators",Managers,"Chief executives, senior officials and legislators",Managing directors and chief executives,Managing directors and chief executives,chief operating officer
packaging production manager,"apply safety management
comply with legal regulations
comprehend financial business terminology
conduct evaluation of quality standards
demonstrate proficiency in packaging standards
design package
ensure quality control in packaging
identify innovative concepts in packaging
maintain financial records
maintain relationship with customers
maintain relationship with suppliers
manage staff
plan new packaging designs
promote sustainable packaging
test package",Professionals,Science and engineering professionals,Engineering professionals (excluding electrotechnology),Industrial and production engineers,packaging production manager
power tool repair technician,"advise on equipment maintenance
apply company policies
assemble machines
calibrate electronic instruments
disassemble engines
disassemble machines
lift heavy weights
maintain customer service
maintain equipment
maintain records of maintenance interventions
perform test run
provide customer follow-up services
provide customer information related to repairs
repair power tools
replace defect components
use power tools
use repair manuals
use specialised tools in electric repairs
use wire hand tools",Craft and related trades workers,Electrical and electronic trades workers,Electrical equipment installers and repairers,Electrical mechanics and fitters,power tool repair technician
offset printer,"clean ink rollers
follow production schedule
follow safety precautions in printing
monitor automated machines
operate offset printing machine
perform test run
prepare offset printing machine
prepare printing form
produce prepress proof
set up the controller of a machine
supply machine
troubleshoot",Craft and related trades workers,Handicraft and printing workers,Printing trades workers,Printers,offset printer
